catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
B-2,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-2,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-3,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-3,II,No,*,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-4,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-4,,Yes,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-4,,Yes,*,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-4,I,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-4,II,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-4,,Yes,*,SMLn,"Stedelijke Musea, Leuven, Belgium"
B-5,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-5,,No,*,ULn,"Universiteit, Leuven, Belgium"
B-7,I,Yes,*,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-7,II,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-7,,No,*,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-7,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-8,,No,*,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-8,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-8,,Yes,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
B-8,,No,,KBH,"Koninklijke Bibliotheek, The Hague, Netherlands"
B-8,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-12,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-12,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-12,,No,,,"Oscar Nottebohm, Antwerp, Belgium"
B-12,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-13,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-13,,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-13,,No,,BPG,"Bibliothque Publique et Universitaire, Geneva, Switzerland"
B-16,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-16,,No,,FLNY,"Frick Art Reference Library, New York, NY, USA"
B-16,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-16,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-16,,No,,ULn,"Universiteit, Leuven, Belgium"
B-17,,Yes,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-17,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-26,I,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-26,II,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-26,III,No,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-26,IV,Yes,,BG,"Bibliothque de l'Universit, Gent, Belgium"
B-26,,No,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-28,,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-28,,Yes,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-29,I,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-29,II,No,,MB,"Bibliothque des Muses Royaux des Beaux-Arts, Brussels, Belgium"
B-29,,No,,MA,"Bibliotheek, Koninklijk Museum voor Schone Kunsten, Antwerp, Belgium"
B-29,,,,NP,"Marcel Nicolle, Paris, France"
B-29,,Yes,,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
B-29,,No,,BRB,"Bibliothque Royale, Brussels, Belgium"
B-30,,No,,BUL,"Bibliothque de l'Universit, Lige, Belgium"
B-30,,No,,KBH,"Koninklijke Bibliotheek, The Hague, Netherlands"
B-30,I,Yes,,ULNe,"Universit, Louvain-la-Neuve, Belgium"
B-30,II,No,,ULne,
